title,subscribers,link
Romancev,768783131,https://t.me/Romancev768
GPT | ChatGPT | Midjourney — GPTMain News,2427022,https://t.me/GPTMainNews
Бэкдор,2211157,https://t.me/whackdoor
Техномотель,2125270,https://t.me/technomotel
NN,2110551,https://t.me/naebnet
Эксплойт,1978558,https://t.me/exploitex
hitvpn_blog,1870883,https://t.me/hitvpn_news
"Цифровой Журнал | IT, Neiroseti",1548677,https://t.me/chatgptv
Техночат,1323741,https://t.me/technomedia
"Hi, AI | Новости технологий",1181593,https://t.me/hiaimedia
Wylsacom Red,1119535,https://t.me/Wylsared
Провод,1116531,https://t.me/provod
в IT и выйти,1097766,https://t.me/techmedia
Техно,995685,https://t.me/techno_media
Милорд,992577,https://t.me/milord_q
"Не баг, а фича",939697,https://t.me/bugnotfeature
"Не баг, а фича",890332,https://t.me/bugfeature
concertzaal,818052,https://t.me/concertzaal
Рестарт,796300,https://t.me/remedia
Технолавка,688536,https://t.me/technolavka
Rozetked,539598,https://t.me/rozetked
Big Geek,502999,https://t.me/biggeekru
Тайпспейс Медиа,500021,https://t.me/typespace
Яндекс,403004,https://t.me/yandex
Этичный Хакер,401047,https://t.me/hack_less
Нейродвиж,374860,https://t.me/neuraldvig
"Диджитальная | IT, ChatGPT",360997,https://t.me/digital_neyroseti
Код Дурова,354955,https://t.me/d_code
AI News | Нейросети,351966,https://t.me/gpt_news
ChatGPT | Нейросети,350766,https://t.me/gptpublic
TechGPT [🅽 🅴 🆆 🆂] 🤖,337229,https://t.me/TechGPTNews
GigaChat,330709,https://t.me/official_gigachat
Нейросети & Технологии | DeepTech,321866,https://t.me/DeepTechNET
Новости безопасности от YouFast VPN™,272523,https://t.me/YouFastVPN
Бэкспейс,266343,https://t.me/backspace_mag
Фон,257620,https://t.me/fon_tech
Минцифры России,246783,https://t.me/mintsifry
"ChatGPT, помоги!",242431,https://t.me/GPThelp_ru
Neural Pony,229948,https://t.me/neuralpony
Костыль,228015,https://t.me/kostylofficial
М.Видео | Эльдорадо,227188,https://t.me/mvideoandeldorado
CodeCamp,226217,https://t.me/codecamp
Machinelearning,222455,https://t.me/ai_machinelearning_big_data
ТЕХНО: Яндекс про технологии,219239,https://t.me/techno_yandex
Технологии | Нейросети | Боты,218708,https://t.me/aiaiai
The Фичер,217316,https://t.me/feachermedia
AI и точка.,213137,https://t.me/ai4telegram
Мой Компьютер,203874,https://t.me/mknewsru
"Прокачай Мозг: Айти, Тренды, Технологии",199870,https://t.me/iPumpBrain
Техничный канал,184807,https://t.me/tehnicny
Lifegoodd,181916,https://t.me/lifegoodd1
СправПортал - Защита от спама и мошенников,177341,https://t.me/spravportal_whocalls
"Discovery: IT, технологии, бизнес",176640,https://t.me/discoveryit_channel
XOR,171919,https://t.me/xor_journal
Робот сочинит симфонию?,166357,https://t.me/robotsymphony
Apple Media,156781,https://t.me/media_apple
EDYA GPT NEWS,155842,https://t.me/edya_robot
Книги для программистов,155457,https://t.me/progbook
Технотренды от Альфа-Банка,151057,https://t.me/alfa_trends
Ai♾️ἀποκάλυψις,150642,https://t.me/AI_Apocalypse
SYNTX FAMILY,150439,https://t.me/syntxfamily
Samsung Russia,149113,https://t.me/SamsungRussia
AliExpress для авто,148136,https://t.me/aliexpauto
MPC,143611,https://t.me/mediacomputers
Chad AI,141987,https://t.me/chadgpt_ru
Простой Python | Программирование,140276,https://t.me/python_piton_javascript
Бэкап,132081,https://t.me/ne_backup
NotVPN - Безлимитный VPN,129262,https://t.me/notvpn_ru
Droider,129043,https://t.me/droidergram
Social Engineering,126879,https://t.me/Social_engineering
TechObserve,126329,https://t.me/TechObserve
Technodeus,124285,https://t.me/technodeus2023
Хабр,122176,https://t.me/habr_com
PROAI,119691,https://t.me/pro_ai_news
"Алиса, что нового?",117150,https://t.me/alice_yndx
Новости IT 📰,115029,https://t.me/gptnewsit
VK X,114787,https://t.me/vkxci
IT Portal,114247,https://t.me/IT_Portal
InterShop - Товары для ПК по лучшим ценам,113469,https://t.me/Inter_sh0p
Коннор,112572,https://t.me/connorwow
realme Russia,111791,https://t.me/realmerussia
Colibri | ИИ боты,109178,https://t.me/Colibri_bots
Ленинградский Cyber - страж,108754,https://t.me/LenCyber78
Teletehnik,106116,https://tgstat.ru/channel/qzTJXz28v8AyZTUy/stat (tgstat)
Марти 🦓 | Нейросети,105789,https://tgstat.ru/channel/2GaoITdfcktmN2M6/stat (tgstat)
ИИ Представляет,105713,https://t.me/iirepresent
"Нажми Enter | Тренды, ІТ и бизнес",105174,https://t.me/PushEnter
Unlim AI,103759,https://t.me/unlim_ai
iMore,101824,https://tgstat.ru/channel/JdYdUu7eRuU2Yzli/stat (tgstat)
"Chat AI Новости - GPT, Midjourney, Claude, Gemini и др.",101816,https://t.me/chat_ai_bot_news
Роман Сакутин,101796,https://t.me/sakutin_csharp
Прогер,100704,https://tgstat.ru/channel/0gtYD5fzlWhiNzcy/stat (tgstat)
Digital,99553,https://tgstat.ru/channel/sXleVX9_8AlhMGQ0/stat (tgstat)
Pochinka_blog,99006,https://t.me/pochinka
IT STAND,96892,https://t.me/ITSTAND_ORG
Вселенная Плюс,96351,https://t.me/vselennayaplus
let media,96271,https://t.me/let_media
GIGABYTE,95140,https://t.me/gigabyteru
